alias,first_author,group,group_start,number_authors,sdi,times_cited,journal,pub_year,velocity,grant_product,Unknown,BIOLOGY,MATHEMATICAL & COMPUTATIONAL BIOLOGY,STATISTICS & PROBABILITY,"ENGINEERING, ELECTRICAL & ELECTRONIC","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",ROBOTICS,TELECOMMUNICATIONS,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",AUTOMATION & CONTROL SYSTEMS,MULTIDISCIPLINARY SCIENCES,PHARMACOLOGY & PHARMACY,CELL BIOLOGY,"COMPUTER SCIENCE, CYBERNETICS",NEUROSCIENCES,MATHEMATICS,ENVIRONMENTAL STUDIES,PLANNING & DEVELOPMENT,HISTORY,LAW,ENERGY & FUELS,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,POLITICAL SCIENCE,OBSTETRICS & GYNECOLOGY,REPRODUCTIVE BIOLOGY,ETHICS,MEDICAL ETHICS,SOCIAL ISSUES,"SOCIAL SCIENCES, BIOMEDICAL",INTERNATIONAL RELATIONS,ENVIRONMENTAL SCIENCES,REHABILITATION,"SOCIAL SCIENCES, INTERDISCIPLINARY",PUBLIC ADMINISTRATION,MANAGEMENT,"ENGINEERING, ENVIRONMENTAL",METEOROLOGY & ATMOSPHERIC SCIENCES,ECONOMICS,THERMODYNAMICS,SOCIOLOGY,"PHYSICS, APPLIED","MATERIALS SCIENCE, MULTIDISCIPLINARY",NANOSCIENCE & NANOTECHNOLOGY,CRYSTALLOGRAPHY,"PHYSICS, CONDENSED MATTER","CHEMISTRY, MULTIDISCIPLINARY",OPTICS,INSTRUMENTS & INSTRUMENTATION,BIOCHEMISTRY & MOLECULAR BIOLOGY,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE","COMPUTER SCIENCE, INFORMATION SYSTEMS","COMPUTER SCIENCE, THEORY & METHODS","EDUCATION, SCIENTIFIC DISCIPLINES","PHYSICS, MULTIDISCIPLINARY","CHEMISTRY, PHYSICAL",POLYMER SCIENCE,"CHEMISTRY, ORGANIC","PHYSICS, ATOMIC, MOLECULAR & CHEMICAL","MEDICINE, RESEARCH & EXPERIMENTAL",BIOTECHNOLOGY & APPLIED MICROBIOLOGY,CELL & TISSUE ENGINEERING,HEMATOLOGY,ONCOLOGY,GENETICS & HEREDITY,TOXICOLOGY,BIOCHEMICAL RESEARCH METHODS,"CHEMISTRY, ANALYTICAL","MEDICINE, GENERAL & INTERNAL",ELECTROCHEMISTRY,SPECTROSCOPY,"GEOSCIENCES, MULTIDISCIPLINARY",AGRICULTURAL ENGINEERING,ASTRONOMY & ASTROPHYSICS,MARINE & FRESHWATER BIOLOGY,ECOLOGY,MICROBIOLOGY,OCEANOGRAPHY,"ENGINEERING, BIOMEDICAL","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",FISHERIES,PLANT SCIENCES,"ENGINEERING, CHEMICAL",BIOPHYSICS,DEVELOPMENTAL BIOLOGY,EVOLUTIONARY BIOLOGY,MYCOLOGY,RESPIRATORY SYSTEM,PHYSIOLOGY,SPORT SCIENCES,"ENGINEERING, MECHANICAL","MATERIALS SCIENCE, BIOMATERIALS","CHEMISTRY, MEDICINAL",PEDIATRICS,MECHANICS,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",TRANSPORTATION,GEOGRAPHY,"ENGINEERING, CIVIL",TRANSPORTATION SCIENCE & TECHNOLOGY,URBAN STUDIES,CONSTRUCTION & BUILDING TECHNOLOGY,OPHTHALMOLOGY,"PSYCHOLOGY, APPLIED","GEOGRAPHY, PHYSICAL",FORESTRY,BIODIVERSITY CONSERVATION,WATER RESOURCES,"PHYSICS, MATHEMATICAL","MATHEMATICS, APPLIED","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","PHYSICS, FLUIDS & PLASMAS",METALLURGY & METALLURGICAL ENGINEERING,"MATERIALS SCIENCE, COATINGS & FILMS",IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY,REMOTE SENSING,AGRONOMY,LIMNOLOGY,"PSYCHOLOGY, MULTIDISCIPLINARY",ENDOCRINOLOGY & METABOLISM,"CHEMISTRY, INORGANIC & NUCLEAR","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS","SOCIAL SCIENCES, MATHEMATICAL METHODS",FAMILY STUDIES,HEALTH CARE SCIENCES & SERVICES,MEDICAL INFORMATICS,PSYCHOLOGY,"PSYCHOLOGY, SOCIAL",ERGONOMICS,AGRICULTURAL ECONOMICS & POLICY,"BUSINESS, FINANCE",BUSINESS,"DENTISTRY, ORAL SURGERY & MEDICINE",OPERATIONS RESEARCH & MANAGEMENT SCIENCE,"ENGINEERING, INDUSTRIAL","ENGINEERING, MULTIDISCIPLINARY","MATERIALS SCIENCE, CERAMICS",GEOCHEMISTRY & GEOPHYSICS,"AGRICULTURE, MULTIDISCIPLINARY",VETERINARY SCIENCES,GEOLOGY,ZOOLOGY,INDUSTRIAL RELATIONS & LABOR,"ENGINEERING, MANUFACTURING","MATERIALS SCIENCE, COMPOSITES",NUCLEAR SCIENCE & TECHNOLOGY,IMMUNOLOGY,ANATOMY & MORPHOLOGY,ACOUSTICS,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",PALEONTOLOGY,PATHOLOGY,ORTHOPEDICS,SURGERY,UROLOGY & NEPHROLOGY,CRITICAL CARE MEDICINE,EMERGENCY MEDICINE,DERMATOLOGY,NUTRITION & DIETETICS,INFECTIOUS DISEASES,RHEUMATOLOGY,FOOD SCIENCE & TECHNOLOGY,"CHEMISTRY, APPLIED",TROPICAL MEDICINE,PERIPHERAL VASCULAR DISEASE,CLINICAL NEUROLOGY,GASTROENTEROLOGY & HEPATOLOGY,ANESTHESIOLOGY,SOIL SCIENCE,"MATERIALS SCIENCE, TEXTILES",NEUROIMAGING,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",ALLERGY,"EDUCATION, SPECIAL","PSYCHOLOGY, DEVELOPMENTAL",EDUCATION & EDUCATIONAL RESEARCH,"PSYCHOLOGY, EDUCATIONAL","HUMANITIES, MULTIDISCIPLINARY",MINERALOGY,GERIATRICS & GERONTOLOGY,TRANSPLANTATION,AREA STUDIES,"ENGINEERING, AEROSPACE",MEDICAL LABORATORY TECHNOLOGY,CARDIAC & CARDIOVASCULAR SYSTEMS,"PSYCHOLOGY, CLINICAL",MICROSCOPY,"HOSPITALITY, LEISURE, SPORT & TOURISM","PSYCHOLOGY, MATHEMATICAL",HISTORY & PHILOSOPHY OF SCIENCE,PHILOSOPHY,HEALTH POLICY & SERVICES,NURSING,PSYCHIATRY,SUBSTANCE ABUSE,GERONTOLOGY,DEMOGRAPHY,SOCIAL WORK,WOMENS STUDIES,BEHAVIORAL SCIENCES,CULTURAL STUDIES,"MATERIALS SCIENCE, PAPER & WOOD",COMMUNICATION,ENTOMOLOGY,OTORHINOLARYNGOLOGY,"PHYSICS, NUCLEAR","PHYSICS, PARTICLES & FIELDS",ANDROLOGY,"ENGINEERING, OCEAN",ANTHROPOLOGY,ARCHAEOLOGY,HORTICULTURE,"PSYCHOLOGY, BIOLOGICAL",VIROLOGY,"PSYCHOLOGY, EXPERIMENTAL",MINING & MINERAL PROCESSING,ART,INFORMATION SCIENCE & LIBRARY SCIENCE,"ENGINEERING, GEOLOGICAL","ENGINEERING, MARINE",AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,LINGUISTICS,PRIMARY HEALTH CARE,"ENGINEERING, PETROLEUM","FILM, RADIO, TELEVISION",ETHNIC STUDIES,ARCHITECTURE,CRIMINOLOGY & PENOLOGY,"MEDICINE, LEGAL",PARASITOLOGY,ORNITHOLOGY,INTEGRATIVE & COMPLEMENTARY MEDICINE,THEATER,RELIGION,HISTORY OF SOCIAL SCIENCES,LITERATURE,LOGIC,LANGUAGE & LINGUISTICS,LITERARY THEORY & CRITICISM,LITERARY REVIEWS,FOLKLORE,CLASSICS,MUSIC,MEDIEVAL & RENAISSANCE STUDIES
T1723,FALSE,C,2009,9,0,0,ABSTR. PAP. AM. CHEM. SOC.,2013,0,Post,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1670,TRUE,C,2009,1,0,0,ABSTR. PAP. AM. CHEM. SOC.,2011,0,Post,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T220,FALSE,B,2007,3,0.281087209,1,ADV. MATER. INTERFACES,2015,0.333333333,Post,,,,,,,,,,,6,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,10,15,4,,9,11,,,,,,,,4,17,,,1,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1753,FALSE,B,2007,2,0.310950249,18,LANGMUIR,2010,2.25,Post,2,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,5,,3,11,,4,,,,,,,9,5,,,,,,,,,,1,4,,2,,,,,,,,,4,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2268,TRUE,C,2009,5,0.158014286,19,CHEM. MAT.,2013,3.8,Post,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,12,17,7,1,6,9,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2200,FALSE,ERROR,ERROR,12,0.31296,11,CRYST. GROWTH DES.,2014,2.75,ERROR,7,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,13,6,5,3,1,2,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T515,FALSE,C,2009,10,0.184568,92,ACS NANO,2014,23,Post,,,,,1,,,,,,4,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,21,25,21,,15,14,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T920,FALSE,C,2009,5,0.267724771,124,J. AM. CHEM. SOC.,2010,15.5,Post,2,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,22,7,,16,20,,,,,,,,,11,15,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T888,FALSE,E,2011,3,0.261566667,8,MACROMOLECULES,2015,2.666666667,Post,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,2,1,4,1,1,1,,,,,2,4,28,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T718,TRUE,A,2011,2,0.32392,1,NANOETHICS,2012,0.166666667,Post,30,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,,,,,,,,,,,1,,2,2,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1848,FALSE,ERROR,ERROR,7,0.476451613,1,OPT. LETT.,2012,0.166666667,ERROR,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,4,2,,2,1,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2519,FALSE,ERROR,ERROR,11,0.71811,8,PROC. NATL. ACAD. SCI. U. S. A.,2015,2.666666667,ERROR,3,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11,9,,29,7,,1,,,,,,9,9,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1383,FALSE,ERROR,ERROR,10,0.45515,47,PHYS. REV. LETT.,2008,4.7,ERROR,5,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,1,3,,1,,1,,,,,7,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T108,TRUE,C,2009,2,0,0,ABSTR. PAP. AM. CHEM. SOC.,2007,0,Pre,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T531,FALSE,C,2009,5,0,0,ABSTR. PAP. AM. CHEM. SOC.,2010,0,Post,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T144,TRUE,A,2011,1,0.238539216,3,INT. J. NANOTECHNOL.,2010,0.375,Pre,64,,,,,,,,,,1,,,,,,,,,1,,1,,,,,,1,,,1,,2,,,1,,1,,4,,1,7,,,1,,,,,,,,,,,,,2,,,,,,4,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1206,FALSE,C,2009,5,0,0,ABSTR. PAP. AM. CHEM. SOC.,2011,0,Post,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2866,FALSE,C,2009,7,0.227521053,11,MATER. HORIZONS,2015,3.666666667,Post,1,,,,1,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,9,18,6,,8,14,1,,1,,,,,,20,7,1,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T84,TRUE,C,2009,3,0,5,NANOTECHNOLOGY,2013,1,Post,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2318,FALSE,C,2009,8,0.204320388,237,ADV. FUNCT. MATER.,2009,26.33333333,Pre,30,,,,4,,,,,,6,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,16,9,6,,11,6,,1,,,,,,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1066,FALSE,B,2007,5,0.157742857,7,CHEMSUSCHEM,2011,1,Post,4,,,,,,,,,,11,,,,,,,,,,,1,,,,,,,,,1,,,,,2,,,,,1,10,4,1,1,12,,,1,,,,,,9,4,,,,,,,,,,1,2,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2574,FALSE,C,2009,8,0.211219807,30,ADV. FUNCT. MATER.,2014,7.5,Post,1,,,,1,,,,,,3,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,15,26,17,,12,21,,,,,,,,,23,2,,,,,,,,,,,,,7,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T800,FALSE,C,2009,6,0.233786316,470,ADV. FUNCT. MATER.,2011,67.14285714,Post,3,,,,,,,,,,4,,,,,,,,,,13,,,,,,,,,,2,,,,,2,,,,,76,98,28,6,45,29,1,8,,,,,,1,68,,,5,,,,,,,,,9,,33,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,,,,,,,9,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2495,FALSE,C,2009,3,0.269266355,121,CHEM. COMMUN.,2010,15.125,Post,32,,,,2,,,,,,9,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,33,47,11,,19,16,,,,,,,,4,23,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1487,TRUE,B,2007,6,0,0,ABSTR. PAP. AM. CHEM. SOC.,2009,0,Post,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2381,TRUE,B,2007,5,0,0,ABSTR. PAP. AM. CHEM. SOC.,2011,0,Post,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1645,TRUE,C,2009,1,0,0,ABSTR. PAP. AM. CHEM. SOC.,2014,0,Post,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1288,FALSE,C,2009,4,0.494727273,54,J. ELECTROCHEM. SOC.,2007,4.909090909,Pre,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1,,1,6,,,4,,,,,,9,,,,,1,,,,,,2,9,,6,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T719,TRUE,A,2011,1,0,1,SCI. ENG. ETHICS,2006,0.083333333,Pre,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2663,FALSE,C,2009,4,0.28173,37,CHEM. MAT.,2014,9.25,Post,1,,,,,,,,,,1,,,,,,,,,,5,1,,,,,,,,,2,,,,,,,,,,3,6,1,,3,9,,,,,,,,,7,,3,2,,,,,,,,,,,3,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T3390,FALSE,C,2009,4,0,0,ABSTR. PAP. AM. CHEM. SOC.,2015,0,Post,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T804,FALSE,B,2007,8,0.432792135,1,CHEM. ENG. J.,2017,1,Post,3,1,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,18,,,,,13,1,,,,,3,2,,,4,,,,,,,,1,7,4,,1,,1,,,,,,,1,,1,1,1,1,,,1,,,,1,,,14,1,,,,,,,,,,,,,,,1,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1260,TRUE,A,2011,5,0.343424242,4,FUTURES,2015,1.333333333,Post,25,,,,,,,,,,,,,,,,5,8,1,,1,,1,,,1,,,,,3,,,3,1,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
